Transaction ID,Company Name,Transaction Date,Revenue (AED),Cost of Goods Sold (AED),Gross Profit (AED),Operating Expenses (AED),Net Profit (AED),Account Manager,Department,Payment Method,Invoice Number,Payment Status,Comments
1001,Company D,2023-12-30,274865,216979,57886,29600,28286,Emily Davis,HR,Cash,INV-1001,Pending,Check details
1002,Company A,2023-11-08,200982,86640,114342,59439,54903,Alice Brown,Marketing,Bank Transfer,INV-1002,Overdue,-
1003,Company A,2024-03-12,664800,226660,438140,282848,155292,Alice Brown,Sales,Online,INV-1003,Pending,Check details
1004,Company B,2023-05-21,231100,143234,87866,57124,30742,John Doe,Marketing,Credit Card,INV-1004,Paid,Urgent payment
1005,Company C,2024-02-09,875394,707115,168279,126451,41828,John Doe,HR,Cash,INV-1005,Overdue,-
1006,Company A,2024-05-23,577679,408001,169678,86141,83537,Robert Johnson,Marketing,Online,INV-1006,Paid,Check details
1007,Company D,2024-11-14,586799,477483,109316,47790,61526,Emily Davis,IT,Cash,INV-1007,Paid,Urgent payment
1008,Company D,2023-09-09,243202,84645,158557,68280,90277,Emily Davis,HR,Cash,INV-1008,Overdue,Urgent payment
1009,Company C,2023-05-17,775451,257498,517953,377351,140602,Emily Davis,Finance,Bank Transfer,INV-1009,Pending,Check details
1010,Company D,2024-05-29,180737,123377,57360,23952,33408,Alice Brown,Sales,Credit Card,INV-1010,Paid,Priority client
1011,Company B,2023-10-02,326257,169314,156943,118699,38244,Alice Brown,HR,Credit Card,INV-1011,Paid,Priority client
1012,Company C,2024-04-16,599353,168743,430610,46052,384558,Alice Brown,IT,Credit Card,INV-1012,Overdue,Check details
1013,Company C,2023-03-04,209315,82390,126925,49444,77481,Alice Brown,HR,Online,INV-1013,Overdue,Check details
1014,Company D,2024-10-18,661106,315192,345914,140272,205642,Robert Johnson,Marketing,Online,INV-1014,Paid,Priority client
1015,Company D,2024-06-09,712891,139503,573388,252330,321058,Alice Brown,Marketing,Check,INV-1015,Pending,-
1016,Company A,2023-02-18,878228,700234,177994,96574,81420,John Doe,Marketing,Credit Card,INV-1016,Paid,Urgent payment
1017,Company E,2024-08-24,764632,75808,688824,370648,318176,Emily Davis,Marketing,Bank Transfer,INV-1017,Paid,Check details
1018,Company C,2024-08-31,440177,76830,363347,336869,26478,Jane Smith,Finance,Credit Card,INV-1018,Overdue,Urgent payment
1019,Company D,2024-02-05,640524,289685,350839,322330,28509,Alice Brown,HR,Bank Transfer,INV-1019,Paid,Urgent payment
1020,Company B,2024-02-18,871694,378714,492980,34819,458161,Robert Johnson,Finance,Online,INV-1020,Paid,-
1021,Company A,2024-03-23,822435,100050,722385,582928,139457,Alice Brown,Sales,Online,INV-1021,Paid,-
1022,Company A,2024-01-12,908688,221497,687191,519809,167382,Robert Johnson,Finance,Cash,INV-1022,Pending,Priority client
1023,Company E,2024-01-08,367612,50521,317091,158992,158099,John Doe,Sales,Online,INV-1023,Pending,-
1024,Company A,2023-06-25,922674,445499,477175,404959,72216,Robert Johnson,Sales,Check,INV-1024,Paid,Check details
1025,Company A,2023-05-27,178629,62314,116315,84179,32136,Jane Smith,IT,Credit Card,INV-1025,Pending,Check details
1026,Company D,2023-10-02,368194,177223,190971,101853,89118,Alice Brown,Finance,Credit Card,INV-1026,Pending,Priority client
1027,Company A,2023-12-30,867024,198119,668905,179779,489126,Alice Brown,Finance,Check,INV-1027,Pending,Priority client
1028,Company D,2024-05-15,750061,533971,216090,100467,115623,Robert Johnson,HR,Check,INV-1028,Overdue,Priority client
1029,Company B,2024-03-11,778492,646920,131572,82582,48990,Robert Johnson,Sales,Online,INV-1029,Pending,-
1030,Company B,2023-09-06,927242,731961,195281,93473,101808,Jane Smith,Marketing,Credit Card,INV-1030,Pending,Priority client
1031,Company A,2023-08-14,502270,306878,195392,170749,24643,John Doe,Marketing,Credit Card,INV-1031,Paid,Check details
1032,Company D,2023-06-05,111592,59663,51929,31781,20148,Emily Davis,Sales,Online,INV-1032,Pending,Check details
1033,Company A,2023-06-09,361125,135172,225953,89858,136095,John Doe,HR,Online,INV-1033,Paid,Check details
1034,Company C,2023-07-09,723956,53961,669995,375980,294015,John Doe,Sales,Check,INV-1034,Overdue,Urgent payment
1035,Company E,2023-10-10,260683,64862,195821,70461,125360,Robert Johnson,IT,Cash,INV-1035,Overdue,-
1036,Company D,2023-01-06,426888,336688,90200,57101,33099,Jane Smith,Marketing,Cash,INV-1036,Paid,Check details
1037,Company E,2024-06-07,262649,196372,66277,28996,37281,Emily Davis,IT,Bank Transfer,INV-1037,Overdue,Priority client
1038,Company E,2023-06-14,549773,404377,145396,63994,81402,Emily Davis,Finance,Bank Transfer,INV-1038,Paid,Urgent payment
1039,Company E,2024-10-04,983974,231500,752474,696628,55846,Robert Johnson,Marketing,Credit Card,INV-1039,Overdue,Urgent payment
1040,Company D,2023-05-15,430186,223532,206654,48925,157729,Robert Johnson,HR,Cash,INV-1040,Overdue,Priority client
1041,Company A,2023-08-27,735923,266545,469378,305463,163915,Emily Davis,HR,Check,INV-1041,Overdue,Priority client
1042,Company A,2024-02-28,144108,63860,80248,22364,57884,Robert Johnson,HR,Cash,INV-1042,Pending,Priority client
1043,Company C,2023-05-12,221770,93825,127945,90499,37446,John Doe,HR,Online,INV-1043,Pending,-
1044,Company C,2023-11-16,198892,122293,76599,31117,45482,Robert Johnson,Sales,Credit Card,INV-1044,Overdue,-
1045,Company E,2023-11-27,533693,261382,272311,218218,54093,Robert Johnson,Sales,Online,INV-1045,Overdue,-
1046,Company E,2023-11-01,458757,120376,338381,220690,117691,Robert Johnson,Sales,Credit Card,INV-1046,Overdue,Check details
1047,Company D,2024-08-17,670720,297542,373178,80044,293134,Robert Johnson,Finance,Credit Card,INV-1047,Paid,Urgent payment
1048,Company E,2024-08-19,464009,102683,361326,194544,166782,Emily Davis,Marketing,Cash,INV-1048,Overdue,Priority client
1049,Company D,2023-07-18,844832,167779,677053,154921,522132,Emily Davis,Sales,Credit Card,INV-1049,Overdue,-
1050,Company B,2024-05-01,672984,489666,183318,146245,37073,Emily Davis,IT,Online,INV-1050,Paid,-
1051,Company A,2023-09-22,498012,126261,371751,220434,151317,Jane Smith,Marketing,Online,INV-1051,Overdue,Urgent payment
1052,Company A,2024-09-27,990003,340841,649162,523899,125263,Alice Brown,HR,Cash,INV-1052,Paid,Priority client
1053,Company E,2023-05-16,974665,820708,153957,122573,31384,Robert Johnson,Finance,Cash,INV-1053,Pending,Check details
1054,Company A,2023-02-17,499675,66783,432892,71948,360944,John Doe,Sales,Bank Transfer,INV-1054,Overdue,Priority client
1055,Company C,2024-06-23,156584,94273,62311,27807,34504,John Doe,Marketing,Bank Transfer,INV-1055,Paid,Check details
1056,Company B,2024-05-15,532733,362642,170091,105199,64892,Jane Smith,Sales,Online,INV-1056,Overdue,Priority client
1057,Company C,2024-02-20,904432,220705,683727,358157,325570,Jane Smith,Sales,Cash,INV-1057,Overdue,Check details
1058,Company D,2023-03-05,631696,502609,129087,107948,21139,Emily Davis,IT,Bank Transfer,INV-1058,Overdue,Priority client
1059,Company A,2023-08-06,419643,185801,233842,206502,27340,Jane Smith,Finance,Check,INV-1059,Paid,Priority client
1060,Company D,2023-03-09,407366,299679,107687,83333,24354,Emily Davis,HR,Cash,INV-1060,Overdue,-
1061,Company D,2023-01-13,314276,170347,143929,102745,41184,Jane Smith,Marketing,Bank Transfer,INV-1061,Paid,Check details
1062,Company A,2023-09-17,561013,194364,366649,141297,225352,Emily Davis,Marketing,Cash,INV-1062,Pending,Urgent payment
1063,Company E,2023-04-21,166407,56663,109744,22242,87502,Robert Johnson,Sales,Credit Card,INV-1063,Pending,Check details
1064,Company C,2023-10-26,773093,84864,688229,235558,452671,Alice Brown,Sales,Cash,INV-1064,Paid,-
1065,Company B,2024-11-15,818278,238965,579313,91990,487323,Jane Smith,Finance,Check,INV-1065,Pending,Urgent payment
1066,Company E,2023-05-12,232172,118977,113195,29460,83735,Emily Davis,IT,Cash,INV-1066,Overdue,Priority client
1067,Company A,2024-09-01,128707,53526,75181,30540,44641,Alice Brown,Marketing,Bank Transfer,INV-1067,Pending,Check details
1068,Company C,2023-07-08,910913,707654,203259,55673,147586,John Doe,IT,Cash,INV-1068,Paid,Check details
1069,Company E,2023-01-29,959291,183113,776178,105297,670881,John Doe,Finance,Credit Card,INV-1069,Overdue,Urgent payment
1070,Company D,2023-03-30,679906,245707,434199,274496,159703,Robert Johnson,IT,Credit Card,INV-1070,Paid,Urgent payment
1071,Company B,2023-09-18,192048,58918,133130,35921,97209,Jane Smith,Finance,Check,INV-1071,Pending,Urgent payment
1072,Company B,2023-07-09,967828,203042,764786,127545,637241,Jane Smith,HR,Credit Card,INV-1072,Paid,Urgent payment
1073,Company D,2024-07-16,437672,220781,216891,127010,89881,Robert Johnson,HR,Bank Transfer,INV-1073,Overdue,-
1074,Company C,2023-11-01,835171,659601,175570,53114,122456,John Doe,IT,Cash,INV-1074,Overdue,-
1075,Company A,2024-01-30,435887,121111,314776,37403,277373,Robert Johnson,IT,Online,INV-1075,Overdue,Priority client
1076,Company B,2023-10-08,877057,409243,467814,123468,344346,Emily Davis,Marketing,Bank Transfer,INV-1076,Paid,Urgent payment
1077,Company B,2023-05-06,434257,61258,372999,238788,134211,Emily Davis,Sales,Credit Card,INV-1077,Overdue,Urgent payment
